prov,tahun,kategori_pmi
JAWA TENGAH,2010,TINGGI
DI YOGYAKARTA,2010,TINGGI
JAWA TIMUR,2010,TINGGI
BANTEN,2010,TINGGI
BALI,2010,SANGAT TINGGI
NUSA TENGGARA BARAT,2010,TINGGI
NUSA TENGGARA TIMUR,2010,SANGAT RENDAH
KALIMANTAN BARAT,2010,TINGGI
KALIMANTAN TENGAH,2010,TINGGI
KALIMANTAN SELATAN,2010,TINGGI
KALIMANTAN TIMUR,2010,SANGAT TINGGI
KALIMANTAN UTARA,2010,TINGGI
SULAWESI UTARA,2010,TINGGI
SULAWESI TENGAH,2010,TINGGI
SULAWESI SELATAN,2010,TINGGI
SULAWESI TENGGARA,2010,TINGGI
GORONTALO,2010,TINGGI
SULAWESI BARAT,2010,TINGGI
MALUKU,2010,TINGGI
MALUKU UTARA,2010,TINGGI
PAPUA BARAT,2010,SANGAT RENDAH
PAPUA,2010,SANGAT RENDAH
